#e_p,R_H,f_stab
0.280,0.530,-0.05000
0.280,0.540,-0.05000
0.280,0.550,-0.05000
0.290,0.250,1.00000
0.290,0.260,1.00000
0.290,0.270,0.70000
0.290,0.280,0.05000
0.290,0.290,0.09524
0.290,0.300,0.14286
0.290,0.310,0.38095
0.290,0.320,0.60000
0.290,0.330,0.35000
0.290,0.340,-0.05000
0.290,0.350,-0.05000
0.290,0.360,-0.05000
0.290,0.370,-0.05000
0.290,0.380,-0.05000
0.290,0.390,-0.05000
0.290,0.400,-0.05000
0.290,0.410,-0.05000
0.290,0.420,-0.05000
0.290,0.430,-0.05000
0.290,0.440,-0.05000
0.290,0.450,-0.05000
0.290,0.460,-0.05000
0.290,0.470,-0.05000
0.290,0.480,-0.05000
0.290,0.490,-0.05000
0.290,0.500,-0.05000
0.290,0.510,-0.04762
0.290,0.520,-0.05000
0.290,0.530,-0.05000
0.290,0.540,-0.05000
0.290,0.550,-0.05000
0.300,0.250,1.00000
0.300,0.260,1.00000
0.300,0.270,0.50000
0.300,0.280,0.25000
0.300,0.290,0.10000
0.300,0.300,0.30000
0.300,0.310,0.25000
0.300,0.320,0.25000
0.300,0.330,0.25000
0.300,0.340,0.05000
0.300,0.350,-0.05000
0.300,0.360,-0.05000
0.300,0.370,-0.05000
0.300,0.380,-0.05000
0.300,0.390,-0.05000
0.300,0.400,-0.05000
0.300,0.410,-0.05000
0.300,0.420,-0.05000
0.300,0.430,-0.05000
0.300,0.440,-0.05000
0.300,0.450,-0.05000
0.300,0.460,-0.05000
0.300,0.470,-0.05000
0.300,0.480,-0.05000
0.300,0.490,-0.05000
0.300,0.500,-0.05000
0.300,0.510,-0.05000
0.300,0.520,-0.05000
0.300,0.530,-0.05000
0.300,0.540,-0.05000
0.300,0.550,-0.05000
0.310,0.250,1.00000
0.310,0.260,1.00000
0.310,0.270,0.38095
0.310,0.280,0.15000
0.310,0.290,0.09524
0.310,0.300,0.10000
0.310,0.310,0.20000
0.310,0.320,0.25000
0.310,0.330,0.20000
0.310,0.340,-0.05000
0.310,0.350,-0.05000
0.310,0.360,-0.05000
0.310,0.370,-0.05000
0.310,0.380,-0.05000
0.310,0.390,-0.05000
0.310,0.400,-0.05000
0.310,0.410,-0.05000
0.310,0.420,-0.05263
0.310,0.430,-0.05000
0.310,0.440,-0.05000
0.310,0.450,-0.05000
0.310,0.460,-0.05000
0.310,0.470,-0.05000
0.310,0.480,-0.05000
0.310,0.490,-0.05000
0.310,0.500,-0.05000
0.310,0.510,-0.05000
0.310,0.520,-0.05000
0.310,0.530,-0.05000
0.310,0.540,-0.05000
0.310,0.550,-0.05000
0.320,0.250,1.00000
0.320,0.260,1.00000
0.320,0.270,0.40000
0.320,0.280,0.10000
0.320,0.290,0.20000
0.320,0.300,0.20000
0.320,0.310,0.15000
0.320,0.320,0.20000
0.320,0.330,0.05000
0.320,0.340,-0.05000
0.320,0.350,-0.05000
0.320,0.360,-0.05000
0.320,0.370,-0.05000
